"filename", "language", "JSON", "TypeScript", "JSON with Comments", "YAML", "PHP", "JavaScript", "Ignore", "XML", "TypeScript JSX", "Markdown", "CSS", "MS SQL", "comment", "blank", "total"
"c:\xampp\htdocs\pdl-is\database\migrations\2025_07_20_163428_add-cell-assignment.php", "PHP", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 7, 7, 44
"c:\xampp\htdocs\pdl-is\database\migrations\2025_07_20_182009_add-court-order.php", "PHP", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 7, 4, 38
"c:\xampp\htdocs\pdl-is\database\migrations\2025_07_20_205501_add-case-information.php", "PHP", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 7, 8, 71
"c:\xampp\htdocs\pdl-is\database\migrations\2025_08_11_155343_activity.php", "PHP", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 6, 7, 38
"c:\xampp\htdocs\pdl-is\database\migrations\2025_08_12_065404_add-verification.php", "PHP", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 3, 5, 40
"c:\xampp\htdocs\pdl-is\database\migrations\2025_08_15_145929_update-personnel.php", "PHP", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 6, 4, 28
"c:\xampp\htdocs\pdl-is\database\migrations\2025_08_15_154308_system-notification.php", "PHP", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 6, 5, 47
"c:\xampp\htdocs\pdl-is\database\migrations\2025_08_22_204000_time_allowances.php", "PHP", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_12_085038_add-forgot-password.php", "PHP", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 7, 7, 35
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_16_175912_add_notification_type_to_system_notifications_table.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 4, 30
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_16_183719_add_timestamps_to_system_notifications_read_by_table.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_16_184015_add_gender_to_cells_table.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_16_184225_update_cells_gender_enum_to_male_female_only.php", "PHP", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 8, 5, 34
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_16_185315_create_pdl_alerts_table.php", "PHP", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 6, 4, 39
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_16_191732_add_drug_related_to_case_information_table.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_16_192900_create_medical_documents_table.php", "PHP", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 6, 4, 37
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_16_195725_add_document_path_to_court_orders_table.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 4, 30
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_16_203245_create_login_attempts_table.php", "PHP", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 7, 5, 36
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_16_204048_create_certificates_table.php", "PHP", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 7, 5, 55
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_16_223030_add_archiving_fields_to_pdls_table.php", "PHP", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 6, 5, 56
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_16_224304_add_court_order_fields_to_pdl_table.php", "PHP", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 13, 4, 30
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_16_225139_move_archiving_fields_to_case_information_table.php", "PHP", 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 10, 8, 93
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_16_225451_move_archiving_fields_to_court_orders_table.php", "PHP", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 10, 8, 91
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_19_181009_add_archive_fields_to_pdl_table.php", "PHP", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 6, 5, 46
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_19_182031_add_court_order_fields_to_pdl_archive.php", "PHP", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 6, 5, 46
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_19_194756_make_pdl_id_nullable_in_system_notifications_table.php", "PHP", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 8, 4, 29
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_20_000752_add_middlename.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_21_163812_remove_court_order_laboratory_results.php", "PHP", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 6, 6, 37
